hour,hour_bef_temperature,hour_bef_precipitation,hour_bef_windspeed,hour_bef_humidity,hour_bef_visibility,hour_bef_ozone,hour_bef_pm10,hour_bef_pm2.5,count
5,15.3,0.0,1.8,52.0,1363.0,0.04,65.0,39.0,16
6,9.4,0.0,2.5,85.0,370.0,0.022,56.0,49.0,11
9,11.2,0.0,1.8,44.0,1901.0,0.022,30.0,18.0,121
4,10.1,0.0,1.6,73.0,937.0,0.04,50.0,22.0,12
8,18.2,0.0,0.8,63.0,1987.0,0.005,36.0,25.0,215
5,16.2,0.0,1.0,63.0,1085.0,0.006,71.0,49.0,15
9,8.7,0.0,1.7,63.0,1483.0,0.012,67.0,34.0,92
20,22.7,0.0,4.7,34.0,1444.0,0.086,74.0,37.0,226
7,11.1,0.0,1.3,84.0,967.0,0.034,54.0,19.0,21
7,13.0,0.0,0.8,46.0,1870.0,0.007,47.0,33.0,72
6,17.4,0.0,1.1,69.0,1698.0,0.009,35.0,23.0,31
7,13.4,0.0,1.3,80.0,912.0,0.028,36.0,15.0,98
12,18.6,0.0,1.4,57.0,788.0,0.042,74.0,43.0,116
23,14.0,0.0,1.4,47.0,2000.0,0.046,45.0,23.0,114
4,16.4,0.0,2.8,61.0,1388.0,0.004,81.0,52.0,9
4,5.5,0.0,0.6,56.0,1146.0,0.038,63.0,53.0,5
14,13.8,1.0,4.8,74.0,1955.0,0.044,33.0,23.0,1
23,13.9,0.0,3.3,43.0,2000.0,0.042,23.0,19.0,57
18,17.8,0.0,6.5,36.0,1353.0,0.054,122.0,19.0,101
9,20.8,0.0,2.2,58.0,1095.0,0.039,53.0,30.0,132
6,12.5,0.0,2.5,64.0,2000.0,0.033,41.0,13.0,40
16,14.8,0.0,3.8,29.0,2000.0,0.054,31.0,27.0,172
11,20.6,0.0,3.5,63.0,1420.0,0.05,37.0,24.0,103
0,11.7,0.0,3.5,80.0,895.0,0.044,58.0,31.0,34
22,12.5,0.0,4.0,76.0,525.0,0.013,67.0,54.0,60
12,26.1,0.0,2.4,36.0,1562.0,0.043,52.0,31.0,141
23,11.4,1.0,1.8,98.0,128.0,0.024,21.0,,1
20,10.7,0.0,3.8,38.0,1246.0,0.064,72.0,60.0,87
11,22.8,0.0,3.0,53.0,1838.0,0.017,34.0,23.0,100
8,16.5,0.0,0.6,62.0,1600.0,0.022,37.0,28.0,51
21,18.6,0.0,2.3,35.0,987.0,0.031,178.0,37.0,139
3,4.6,0.0,0.3,76.0,1951.0,0.03,27.0,25.0,11
15,18.7,0.0,6.4,25.0,1157.0,0.045,158.0,15.0,74
22,12.3,0.0,3.3,57.0,1580.0,0.05,53.0,22.0,118
18,16.9,0.0,2.4,64.0,570.0,0.05,73.0,57.0,171
13,14.0,1.0,2.8,42.0,1518.0,0.03,49.0,37.0,5
12,19.1,0.0,3.9,24.0,1890.0,0.058,48.0,22.0,105
17,9.5,1.0,1.4,68.0,2000.0,0.052,40.0,37.0,134
8,19.2,0.0,1.6,56.0,2000.0,0.008,31.0,19.0,267
15,26.3,0.0,4.3,39.0,1925.0,0.062,37.0,23.0,272
22,22.8,0.0,2.5,67.0,1899.0,0.018,33.0,25.0,221
20,23.6,0.0,4.0,60.0,1082.0,0.078,61.0,37.0,247
16,27.5,0.0,3.4,28.0,1984.0,0.062,22.0,14.0,284
11,16.8,0.0,3.2,61.0,1129.0,0.046,47.0,25.0,94
18,15.1,0.0,2.0,76.0,1992.0,0.053,24.0,19.0,186
3,19.1,0.0,0.9,79.0,489.0,0.04,67.0,39.0,20
10,9.2,0.0,1.9,55.0,462.0,0.023,91.0,84.0,60
4,13.4,0.0,0.0,74.0,746.0,0.025,64.0,43.0,13
19,14.8,0.0,3.7,82.0,892.0,0.051,46.0,30.0,136
12,24.0,0.0,1.5,34.0,838.0,0.037,96.0,47.0,94
8,9.0,0.0,2.5,17.0,2000.0,0.018,41.0,13.0,197
1,12.3,0.0,1.2,78.0,629.0,,,,58
6,8.7,0.0,0.7,85.0,490.0,0.006,76.0,36.0,13
18,14.2,0.0,3.6,33.0,1082.0,0.066,64.0,51.0,113
0,9.9,0.0,1.4,86.0,620.0,0.01,40.0,,47
13,24.0,0.0,3.5,49.0,1986.0,0.051,42.0,29.0,119
7,15.8,0.0,2.0,73.0,776.0,0.036,30.0,23.0,109
18,25.4,0.0,3.4,33.0,2000.0,0.06,40.0,21.0,369
18,19.5,0.0,3.7,23.0,1245.0,0.069,77.0,63.0,216
14,26.8,0.0,2.7,30.0,1835.0,0.078,40.0,24.0,180
14,18.5,0.0,3.5,33.0,1636.0,0.041,68.0,25.0,121
11,17.1,0.0,2.4,55.0,1982.0,0.035,55.0,12.0,98
5,19.0,0.0,1.7,65.0,517.0,0.035,94.0,55.0,14
4,8.0,0.0,0.5,66.0,1993.0,0.031,84.0,22.0,11
6,12.7,0.0,3.9,41.0,2000.0,0.039,13.0,9.0,38
15,29.6,0.0,2.5,22.0,859.0,0.099,74.0,38.0,227
19,23.5,0.0,4.4,33.0,1428.0,0.064,98.0,41.0,201
16,22.8,0.0,1.1,37.0,1296.0,0.039,36.0,30.0,150
11,12.3,0.0,4.5,13.0,2000.0,0.036,48.0,13.0,82
13,13.5,0.0,3.2,32.0,1758.0,0.042,41.0,37.0,172
20,23.1,0.0,3.0,50.0,2000.0,0.04,36.0,26.0,244
6,14.0,0.0,0.4,71.0,533.0,0.069,82.0,50.0,9
11,12.5,0.0,1.6,44.0,1725.0,0.011,91.0,30.0,64
22,14.7,0.0,2.3,68.0,452.0,0.047,78.0,50.0,118
22,20.3,0.0,3.4,44.0,1888.0,0.049,50.0,36.0,182
18,20.3,0.0,4.7,25.0,1994.0,0.053,43.0,20.0,242
8,3.2,0.0,0.4,83.0,728.0,0.004,30.0,,21
5,4.0,0.0,0.3,78.0,1521.0,0.021,28.0,28.0,8
17,17.7,0.0,4.9,29.0,2000.0,0.049,53.0,15.0,147
9,12.1,0.0,1.9,58.0,771.0,0.032,65.0,36.0,60
14,14.1,1.0,3.2,50.0,1645.0,0.045,46.0,39.0,2
6,7.1,0.0,1.0,68.0,2000.0,0.029,55.0,13.0,22
8,15.5,0.0,1.0,83.0,335.0,0.035,51.0,32.0,61
21,17.3,0.0,3.2,63.0,2000.0,0.027,36.0,17.0,230
4,10.2,0.0,4.2,14.0,2000.0,0.046,57.0,15.0,9
21,13.5,0.0,3.6,71.0,2000.0,0.039,33.0,27.0,141
14,17.2,0.0,3.5,28.0,1970.0,0.048,64.0,18.0,131
16,26.3,0.0,3.9,31.0,1821.0,0.069,55.0,31.0,188
22,8.4,0.0,3.5,60.0,2000.0,0.03,47.0,36.0,58
22,12.8,0.0,2.7,69.0,935.0,0.039,69.0,31.0,123
19,19.4,0.0,3.1,55.0,649.0,0.03,70.0,58.0,213
6,11.0,0.0,1.3,25.0,1056.0,0.041,213.0,21.0,12
22,14.7,0.0,2.4,50.0,2000.0,0.05,46.0,24.0,173
6,16.1,0.0,0.2,75.0,1351.0,0.037,27.0,23.0,34
17,26.6,0.0,3.1,33.0,783.0,0.077,115.0,55.0,172
1,5.3,0.0,2.3,76.0,1965.0,,,,24
16,11.6,1.0,4.3,92.0,320.0,0.041,,,36
15,13.2,1.0,5.0,86.0,1087.0,0.047,22.0,17.0,14
15,18.0,0.0,3.3,20.0,2000.0,0.045,54.0,21.0,106
15,18.5,0.0,4.1,24.0,849.0,0.064,92.0,83.0,78
23,19.6,0.0,1.2,59.0,2000.0,0.019,28.0,22.0,131
11,17.2,0.0,0.2,52.0,1114.0,0.01,124.0,31.0,65
10,17.3,0.0,1.0,41.0,1757.0,0.007,70.0,40.0,13
17,23.0,0.0,2.2,11.0,2000.0,0.052,19.0,14.0,214
3,17.2,0.0,1.6,59.0,1277.0,0.052,49.0,32.0,30
7,14.8,0.0,1.3,55.0,1305.0,0.017,65.0,42.0,65
6,16.2,0.0,2.0,61.0,1721.0,0.029,35.0,26.0,19
23,16.3,0.0,1.8,60.0,1703.0,0.042,54.0,31.0,119
8,16.6,0.0,3.1,46.0,1341.0,0.005,64.0,44.0,169
0,17.6,0.0,1.2,73.0,665.0,0.038,57.0,36.0,80
6,13.0,0.0,1.2,80.0,611.0,0.02,56.0,41.0,15
23,14.5,0.0,1.8,68.0,1794.0,0.034,43.0,20.0,119
0,16.1,0.0,1.8,45.0,2000.0,0.016,33.0,22.0,95
17,25.7,0.0,5.6,41.0,1949.0,0.065,44.0,26.0,309
18,27.5,0.0,3.4,34.0,2000.0,0.05,,,402
4,12.3,0.0,0.7,49.0,1506.0,0.059,103.0,28.0,7
15,24.2,0.0,5.0,30.0,1937.0,0.067,48.0,25.0,140
10,7.7,0.0,0.5,65.0,990.0,0.011,35.0,,55
14,17.2,0.0,2.1,32.0,1571.0,0.025,64.0,19.0,83
1,15.0,0.0,1.5,65.0,1167.0,,,,70
19,23.7,0.0,4.1,29.0,2000.0,0.062,28.0,17.0,282
12,16.6,0.0,1.9,44.0,1579.0,0.034,48.0,21.0,105
6,19.4,0.0,2.3,65.0,613.0,0.056,80.0,48.0,33
9,11.9,0.0,0.8,45.0,965.0,0.005,69.0,58.0,59
17,20.1,0.0,4.5,25.0,2000.0,,58.0,29.0,236
10,11.9,1.0,2.4,54.0,935.0,0.005,73.0,61.0,30
0,15.6,0.0,2.3,62.0,1433.0,0.023,56.0,36.0,93
8,13.3,0.0,0.6,66.0,1144.0,0.006,41.0,28.0,217
16,22.8,0.0,4.3,40.0,716.0,0.075,212.0,,135
17,11.4,0.0,2.3,79.0,1138.0,0.034,32.0,,74
21,18.8,0.0,4.6,69.0,2000.0,0.039,32.0,20.0,189
8,4.5,0.0,0.1,73.0,510.0,0.023,84.0,81.0,146
8,15.0,0.0,1.1,50.0,1465.0,0.006,54.0,29.0,46
2,14.1,0.0,0.3,75.0,990.0,0.032,47.0,24.0,31
2,13.6,0.0,2.2,70.0,491.0,0.039,69.0,39.0,21
5,15.5,0.0,0.7,86.0,371.0,0.047,61.0,37.0,15
1,17.9,0.0,1.3,50.0,1812.0,,,,30
0,11.7,0.0,1.3,76.0,733.0,0.031,68.0,29.0,79
8,14.8,0.0,1.1,52.0,2000.0,0.015,37.0,22.0,224
22,20.9,0.0,4.3,70.0,839.0,0.073,61.0,38.0,139
1,9.5,0.0,0.5,52.0,800.0,,,,26
12,12.3,0.0,2.0,41.0,1332.0,0.025,43.0,39.0,149
11,23.8,0.0,1.8,34.0,2000.0,0.019,32.0,20.0,108
13,19.4,0.0,2.5,16.0,2000.0,0.045,27.0,14.0,122
21,13.6,0.0,2.9,67.0,540.0,0.061,87.0,59.0,136
15,21.2,0.0,3.7,12.0,2000.0,0.047,23.0,12.0,133
6,15.5,0.0,0.4,66.0,465.0,0.013,119.0,75.0,28
5,11.1,0.0,0.9,38.0,1718.0,0.064,63.0,38.0,9
19,18.5,0.0,4.5,27.0,2000.0,0.061,48.0,20.0,191
20,19.9,0.0,1.5,13.0,2000.0,0.045,18.0,14.0,168
14,20.4,0.0,2.0,25.0,755.0,0.063,91.0,81.0,105
9,18.7,0.0,1.3,43.0,1108.0,0.01,71.0,40.0,97
20,15.4,0.0,5.3,46.0,1536.0,0.058,99.0,23.0,81
18,25.3,0.0,4.7,31.0,2000.0,0.061,30.0,17.0,293
3,9.4,0.0,0.9,87.0,387.0,0.006,45.0,,8
21,15.5,0.0,3.4,45.0,2000.0,0.054,45.0,21.0,163
1,11.7,0.0,3.1,38.0,2000.0,,,,51
6,10.4,0.0,3.6,12.0,2000.0,0.048,35.0,9.0,23
0,17.7,0.0,1.1,36.0,1111.0,0.027,155.0,35.0,78
6,7.2,0.0,0.6,55.0,831.0,0.004,78.0,68.0,19
1,11.5,0.0,3.2,23.0,2000.0,,,,42
19,16.7,1.0,0.7,88.0,577.0,0.037,82.0,37.0,39
8,17.0,0.0,1.2,65.0,986.0,0.021,32.0,22.0,212
8,7.7,0.0,1.5,66.0,1695.0,0.01,76.0,19.0,184
11,17.8,0.0,0.9,39.0,1628.0,0.006,77.0,40.0,10
19,21.6,0.0,3.4,36.0,2000.0,0.038,33.0,14.0,315
2,15.4,0.0,1.3,76.0,1276.0,0.035,25.0,20.0,20
1,16.2,0.0,2.8,51.0,919.0,,,,62
8,15.8,0.0,1.4,57.0,1077.0,0.031,47.0,29.0,202
9,17.1,0.0,3.4,76.0,451.0,0.03,65.0,39.0,74
23,15.4,0.0,2.2,33.0,2000.0,0.034,49.0,19.0,85
19,28.7,0.0,3.3,8.0,2000.0,0.052,22.0,10.0,317
0,10.5,0.0,3.4,59.0,1990.0,0.044,46.0,23.0,58
19,20.7,0.0,3.8,42.0,1993.0,0.057,50.0,27.0,197
7,10.1,0.0,0.9,29.0,1078.0,0.038,223.0,22.0,13
18,23.7,0.0,6.4,49.0,1967.0,0.048,38.0,20.0,304
1,17.8,0.0,1.2,59.0,676.0,,,,42
9,18.0,0.0,1.8,44.0,1961.0,0.03,31.0,20.0,79
10,17.2,0.0,0.8,56.0,648.0,0.018,67.0,48.0,75
0,15.5,0.0,0.9,30.0,2000.0,0.004,51.0,32.0,76
12,13.1,0.0,3.1,48.0,1012.0,0.016,70.0,57.0,22
21,9.5,0.0,2.2,46.0,1139.0,0.056,70.0,61.0,73
2,11.4,0.0,1.6,83.0,610.0,0.048,57.0,32.0,37
0,17.2,0.0,1.8,35.0,2000.0,0.043,24.0,19.0,137
21,18.8,0.0,3.9,64.0,687.0,0.07,87.0,52.0,190
16,23.4,0.0,3.6,39.0,1670.0,0.074,59.0,40.0,291
3,13.2,0.0,2.5,25.0,950.0,0.041,269.0,21.0,16
16,26.6,0.0,4.8,38.0,2000.0,0.063,30.0,23.0,300
17,29.1,0.0,2.3,24.0,1900.0,0.07,42.0,27.0,213
5,13.5,0.0,1.0,46.0,1882.0,0.005,54.0,40.0,12
16,11.6,0.0,3.2,80.0,628.0,0.029,36.0,33.0,79
18,20.3,0.0,4.1,24.0,2000.0,,57.0,27.0,320
13,20.5,0.0,2.8,22.0,1959.0,0.064,51.0,26.0,214
17,21.7,0.0,3.0,35.0,2000.0,,32.0,19.0,213
21,14.6,0.0,3.8,29.0,2000.0,0.044,43.0,19.0,163
7,12.4,0.0,2.3,67.0,2000.0,0.023,43.0,15.0,104
10,22.5,0.0,1.4,48.0,1364.0,0.039,47.0,29.0,92
12,17.4,0.0,2.8,74.0,1167.0,0.035,36.0,25.0,61
13,26.3,0.0,2.0,42.0,1502.0,0.037,53.0,33.0,114
12,18.0,0.0,3.1,16.0,2000.0,0.042,24.0,17.0,98
11,16.8,0.0,4.2,16.0,1228.0,0.031,197.0,22.0,67
13,14.3,0.0,4.5,14.0,2000.0,0.044,61.0,14.0,88
