cmpyCd,cmpyNm,ptrn,mog,prdNm,age,mlInsRt,fmlInsRt,basDt,ofrInstNm
N01,삼성화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),20,1817,2260,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),25,2631,3592,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),30,3274,1477,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),35,3259,2511,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),40,2458,3258,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),45,3824,3498,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),50,2328,2568,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),55,3265,3531,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),60,2616,2660,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),65,2114,1902,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),70,3650,3817,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),20,2942,3552,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),25,3289,2316,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),30,3289,3953,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),35,2971,3973,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),40,904,3416,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),45,3069,2575,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),50,3073,1309,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),55,2824,3067,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),60,4182,2411,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),65,2353,2423,20220101,손해보험협회
N01,삼성화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),70,3732,3046,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),20,2576,3184,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),25,3077,3526,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),30,2438,2554,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),35,2686,1702,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),40,3236,2995,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),45,3004,2624,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),50,1867,2484,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),55,2725,2198,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),60,2870,3103,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),65,4508,2930,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),70,3206,2744,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),20,1464,2780,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),25,3048,4647,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),30,2846,3026,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),35,2972,1923,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),40,3914,3363,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),45,3632,2117,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),50,4122,1748,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),55,3469,4442,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),60,2207,2375,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),65,3079,2422,20220101,손해보험협회
N02,현대해상,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),70,1759,2851,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),20,2150,3155,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),25,2264,3962,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),30,2373,2558,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),35,3650,1876,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),40,3181,3780,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),45,1714,2938,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),50,3207,3386,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),55,2010,1809,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),60,3417,3022,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),65,3200,3059,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(현대),70,2455,2974,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),20,3234,2264,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),25,4492,3155,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),30,2046,3292,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),35,2220,3390,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),40,3926,2184,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),45,3770,3109,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),50,3657,4222,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),55,2803,2234,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),60,2288,2188,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),65,2938,3055,20220101,손해보험협회
N02,현대해상,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(현대),70,3221,3420,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),20,3010,3890,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),25,2788,4840,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),30,3500,2157,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),35,2143,3161,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),40,2821,3335,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),45,3378,2745,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),50,2322,1663,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),55,2642,3442,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),60,3171,1865,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),65,3138,3088,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),70,2292,2915,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),20,3046,1942,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),25,3286,3220,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),30,3866,3590,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),35,1897,2096,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),40,3412,3185,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),45,3412,5689,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),50,3456,3651,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),55,3763,3288,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),60,2747,3369,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),65,2381,2622,20220101,손해보험협회
N03,DB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),70,2611,2861,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),20,4851,1399,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),25,3549,1590,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),30,2622,3616,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),35,3051,1991,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),40,2427,3309,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),45,2415,2962,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),50,3036,2311,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),55,4715,3275,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),60,1379,2939,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),65,2470,3439,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(DB),70,2365,2713,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),20,3403,3449,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),25,2039,2549,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),30,2620,2310,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),35,4412,3103,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),40,1991,3488,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),45,4697,3574,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),50,1784,2436,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),55,4013,2269,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),60,3355,3380,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),65,2258,2755,20220101,손해보험협회
N03,DB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(DB),70,406,2031,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),20,2797,1864,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),25,4305,1727,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),30,2647,2898,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),35,4153,1723,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),40,3930,2807,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),45,2214,3146,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),50,3159,2349,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),55,3055,2511,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),60,3090,3296,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),65,4268,1871,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),70,4706,1335,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),20,2878,3241,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),25,3224,2332,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),30,2833,2430,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),35,2528,3437,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),40,3285,2280,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),45,3719,3030,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),50,3650,3272,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),55,2336,2379,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),60,3597,3257,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),65,2983,2887,20220101,손해보험협회
N04,KB손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),70,4022,2356,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),20,3437,2648,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),25,2825,3624,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),30,3660,3410,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),35,4044,2815,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),40,3545,2567,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),45,3259,2702,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),50,3077,3246,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),55,2345,4369,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),60,2195,1889,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),65,3926,3393,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(KB),70,3499,3271,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),20,2990,2127,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),25,3060,2292,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),30,3780,2689,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),35,2339,2558,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),40,3330,2377,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),45,2342,2982,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),50,3195,2419,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),55,2623,2974,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),60,1841,1744,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),65,2425,2639,20220101,손해보험협회
N04,KB손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(KB),70,3248,3906,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),20,3686,2680,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),25,2984,2048,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),30,2985,2583,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),35,3258,2179,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),40,3415,3949,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),45,2912,3101,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),50,3552,2499,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),55,3179,2809,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),60,3078,2220,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),65,3019,3173,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),70,4160,3519,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),20,4722,2224,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),25,3697,2937,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),30,4751,2193,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),35,2328,2350,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),40,1300,2405,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),45,2392,2912,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),50,3273,4207,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),55,3760,2367,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),60,2281,3168,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),65,1943,4173,20220101,손해보험협회
N05,메리츠화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),70,3943,2448,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),20,1629,3815,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),25,2908,3728,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),30,1724,2350,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),35,3004,2835,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),40,2639,3267,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),45,2145,2693,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),50,3096,3185,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),55,3569,1956,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),60,1772,3758,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),65,3265,2238,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(메리),70,4240,2886,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),20,3943,2850,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),25,4648,4116,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),30,2800,3528,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),35,3516,3826,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),40,2228,3314,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),45,3846,1480,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),50,2053,1270,20220101,손해보험협회
N05,메리츠화재,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(메리),55,2784,3338,20220101,손해보험협회
